English,Spanish,Portuguese
potter,alfarero,oleiro
lobby,vestíbulo,salão
hah,jah,hah.
goa'uld,Goa'uld,Goa'uld.
geez,caramelo,geez.
exercise,ejercicio,exercício
ego,ego,ego
drama,drama,drama
Al's,Al's,Al's.
patience,paciencia,paciência
noble,noble,nobre
Katherine,Katherine,Katherine.
Isabel,Isabel,Isabel.
indian,indio,indiano
forth,adelante,para frente
facing,frente a,voltado para
engine,motor,motor
booked,reservado,reservado
boo,abucheo,Boo
un,Naciones Unidas,un
songs,canciones,canções
Sandburg,Sandburg,Sandburg.
poker,póker,poker.
eighteen,Dieciocho,dezoito
d'you,d'you,d'você
cookie,Galleta,biscoito
bury,enterrar,enterrar
perform,llevar a cabo,executar
Hayley,Huele,Hayley
everyday,todos los días,todo dia
digging,excavación,escavação
Davis,Davis,Davis.
creepy,espeluznante,arrepiante
compared,comparado,comparado
wondered,preguntado,perguntou-se
trail,rastro,trilha
saint,Santo,santo
rotten,podrido,podre
liver,hígado,fígado
hmmm,mmm,Hmmm
drawn,dibujado,desenhado
device,dispositivo,dispositivo
whore,puta,prostituta
ta,ejército de reserva,ta.
magical,mágico,mágico
Bruce,Bruce,Bruce.
village,pueblo,Vila
march,marcha,marcha
journey,viaje,jornada
fits,encaja,encaixa
discussed,discutido,discutido
zombie,zombi,zumbi.
supply,suministro,fornecem
moral,moral,moral
helpful,útil,útil
attached,adjunto,em anexo
Timmy's,Timmy's,Timmy's.
slut,puta,puta
searching,buscando,procurando
flew,voló,voou
depressed,Deprimido,depressivo
aliens,alienígenas,alienígenas
aisle,pasillo,corredor
underground,subterráneo,debaixo da terra
pro,Pro,pró
drew,dibujó,Desenhou
daughters,hijastro,filhas
cris,cris,cris.
amen,amén,um homem
vows,votos,votos
proposal,propuesta,proposta
pit,fosa,Cova
neighbors,vecinos,vizinhos
darn,maldito,danificar
clay,arcilla,argila
cents,centavos,centavos
arrange,arreglar,arranjo
annulment,anulación,anulação
uses,usos,usa
useless,inútil,inútil
squad,equipo,Esquadrão
represent,representar,representar
product,producto,produtos
joined,Unido,juntou
afterwards,después,mais tarde
adventure,aventuras,aventura
resist,resistir,resistir
protected,protegido,protegido
net,neto,internet
Marlena,Marlena,Marlena
fourteen,catorce,quatorze
celebrating,celebrando,a comemorar
Benny,Benny,Benny.
piano,piano,piano
inch,pulgada,polegada
flag,bandera,bandeira
debt,deuda,dívida
darkness,oscuridad,Trevas
violent,violento,violento
tag,etiqueta,marcação
sand,arena,areia
gum,goma,Chiclete
dammit,damita,dammit
teal'c,Teal'c,Teal'c.
strip,banda,faixa
Norman,normando,normando
hip,cadera,quadril
celebration,celebracion,celebração
below,debajo,abaixo de
reminded,recordado,lembrado
palace,palacio,Palácio
claims,reclamación (es,reivindicações
tonight's,esta noche,esta noite
replace,reemplazar,substituir
phones,Los telefonos,telefones
paperwork,papeleo,papelada
mighty,poderoso,poderoso
Lloyd,Lloyd,Lloyd.
emotions,emociones,emoções
Andrew,Andrés,Andrew.
typical,típico,típica
stubborn,testarudo,teimoso
stable,estable,estábulo
Sheridan's,Sheridan,Sheridan's.
pound,libra,libra
pillow,almohada,almofada
papa,papá,papá.
mature,maduro,maduro
lap,regazo,colo
designed,diseñado,projetado
current,Actual,atual
Canada,Canadá,Canadá
bum,culo,vagabundo
tension,tensión,tensão
tank,tanque,tanque
suffered,sufrido,sofreu
stroke,carrera,derrame
steady,firme,estável
provide,proveer,fornecer
overnight,durante la noche,pernoite
meanwhile,mientras tanto,Enquanto isso
chips,papas fritas,salgadinhos
beef,carne de res,carne
wins,victorias,vence
suits,trajes,se adequa
carol,villancico,Carol
boxes,cajas,caixas
salt,sal,sal
el,el,el
Cassadine,Casadino,Cassadine.
express,Rápido,expressar
collect,recoger,coletar.
boy's,Niños,Rapazes
ba,licenciado en Letras,BA
tragedy,tragedia,tragédia
therefore,por lo tanto,portanto
spoil,mimar,estragar
Libby,Libby,Libby
realm,reino,Reino
profile,perfil,perfil
degrees,grados,graus
wipe,limpiar,limpar
Wilson,Wilson,Wilson.
surgeon,cirujano,cirurgião
stretch,tramo,esticam
stepped,pisado,pisado
nephew,sobrino,sobrinho
neat,ordenado,arrumado
limo,limusina,limusine.
fox,zorro,Raposa
confident,seguro,confiante
anti,anti,anti
victory,victoria,vitória
perspective,perspectiva,perspectiva
designer,diseñador,Designer.
climb,escalada,escalar
angels,ángeles,anjos
title,título,título
suggested,sugirió,sugerido
punishment,castigo,punição
finest,mejor,melhor.
Ethan's,Ethan's,Ethan's.
Stefan,Stefan,Stefan.
Springfield,Springfield,Springfield
occurred,ocurrió,ocorreu
hint,pista,dica
furniture,muebles,mobiliário
blanket,manta,cobertor
twist,giro,torção
trigger,desencadenar,desencadear
surrounded,rodeado,cercado
surface,superficie,superfície
proceed,Continuar,Continuar
lip,labio,lábio
jersey,jersey,jersey.
fries,papas fritas,fritas
worries,preocupaciones,Preocupações.
refused,rechazado,recusou
niece,sobrina,sobrinha
handy,práctico,à mão
gloves,guantes,luvas
soap,jabón,sabão
signature,firma,assinatura
disappoint,decepcionar,desapontar
crawl,gatear,arrasto
convicted,convicto,condenado
zoo,zoo,jardim zoológico
result,resultado,resultado
pages,páginas,Páginas
lit,iluminado,aceso
flip,dar la vuelta,virar
counsel,consejo,conselho
cheers,salud,Felicidades
doubts,dudas,dúvidas
crimes,delitos,crimes.
accusing,acusación,acusando
when's,cuando es,quando é
shaking,sacudida,agitando
remembering,recordando,lembrando
phase,fase,Estágio
kit,equipo,kit
hallway,Vestíbulo,corredor
halfway,Medio camino,a meio caminho
bothered,molesto,incomodado
useful,útil,útil
Sid,Sid,Sid
popcorn,Palomitas,Pipoca
makeup,maquillaje,Maquiagem
madam,señora,Senhora
Louise,Louise,Louise.
Jean,Vaquero,Jean.
gather,recolectar,reunir
cowboy,vaquero,vaqueiro
concerns,preocupaciones,preocupações
CIA,Cia,Cia.
cameras,cámaras,câmeras
blackmail,chantaje,chantagem
Winnie,Winnie,Winnie.
symptoms,síntomas,sintomas
rope,soga,corda
Patrick,Patricio,Patrick.
ordinary,ordinario,comum
imagined,imaginado,imaginado
concept,concepto,conceito
cigarette,cigarrillo,cigarro
barb,lengüeta,farpa
supportive,apoyo,solidário
memorial,monumento,memorial
Japanese,japonés,japonês
explosion,explosión,explosão
Coleman,Coleman,Coleman.
Bundy,Bundy,Bundy.
yay,Hurra,yay
woo,cortejar,woo.
trauma,trauma,trauma
Russian,ruso,russo
ouch,Ay,ouch.
Leo's,Leo,Leo's.
furious,furioso,furioso
cheat,hacer trampa,enganação
avoiding,evitando,evitando
whew,Uf,ufalhar
thick,grueso,Grosso
oooh,oooh,oooh.
boarding,embarque,embarque
approve,aprobar,aprovar
urgent,urgente,urgente
shhh,shhh,shhh
misunderstanding,malentendido,mal-entendido
minister,ministro,ministro
Ellen,Elen,Ellen.
drawer,cajón,gaveta
sin,pecado,pecado
phony,falso,falso
joining,unión,juntando-se
jam,mermelada,geléia
interfere,interferir,interferir
governor,gobernador,governador
Eden,Edén,Éden
chapter,capítulo,capítulo
catching,atrapando,pegando
bargain,negociar,barganha
warren,madriguera,Warren.
tragic,trágico,trágico
schools,escuelas,escolas
respond,responder,responder
punish,castigar,punir
penthouse,ático,Penthouse
hop,brincar,pulo
angle,ángulo,ângulo
thou,tú,vós
sherry,Jerez,xerez
remains,restos,permanece
rach,rach,rano
ohhh,Oh,ohhh.
insult,insulto,insulto
doctor's,de doctor,médico
bugs,insectos,insetos
beside,junto a,ao lado
begged,rogado,implorou
absolute,absoluto,absoluto
strictly,estrictamente,estritamente
Stefano,Stefano,Stefano.
socks,medias,meias
senses,Sentidos,sentidos.
British,británico,britânico
ups,UPS,ups
sneaking,furtivo,Sneaking.
Sheila,Sheila,Sheila.
yah,yah,yah.
worthy,valioso,valioso
Val,Val,Val.
serving,servicio,servindo.
reward,recompensa,recompensa
polite,Cortés,educado
checks,cheques,Verificações
tale,cuento,conto
physically,físicamente,fisicamente
instructions,instrucciones,instruções
fooled,engañado,enganado
blows,golpes,golpes
tabby,atigrado,malhado
internal,interno,interno
bitter,amargo,amargo
adorable,adorable,adorável
y'all,todos,y'all.
tested,probado,testado
suggestion,sugerencia,sugestão
string,cuerda,corda
mouse,ratón,rato
marks,marcas,marcas
jewelry,joyas,joalheria
debate,debate,debate
com,com,com.
alike,similar,parecido
pitch,terreno de juego,tom
Lou,Lou,Lou.
jacks,jacks,Jacks.
fax,fax,fax
distracted,distraído,distraído
shelter,refugio,abrigo
lovers,amantes,amantes
lessons,lecciones,lições
hart,ciervo,hart.
goose,ganso,Ganso
foreign,extranjero,esqueceram
escort,escolta,escolta
average,promedio,média
twin,mellizo,gêmeo
testing,pruebas,teste
friend's,amigos,amigos
damnit,maldición,droga
constable,alguacil,polícia
circus,circo,circo
Berg,Iceberg,Berg.
audition,audición,audição
tune,melodía,afinação
shoulders,espalda,ombros
mud,lodo,lama
mask,máscara,mascarar
helpless,indefenso,desamparado
feeding,alimentación,alimentando
explains,explica,explica
dated,con fecha de,datado
sucked,chupado,sugado
robbery,robo,roubo
objection,objeción,objeção
kirk,iglesia,kirk.
Kennedy,Kennedy,Kennedy.
Collins,Collins,Collins.
Christina,Christina,Christina
behave,comportarse,comporte-se
valuable,valioso,valioso
Simpson,Simponia,Simpson.
shadows,oscuridad,sombras
Marcy,Marcoso,Marcy.
Gary,Gary,Gary
creative,creativo,criativo
courtroom,sala de justicia,Courtroom.
confusing,confuso,confuso
beast,bestia,fera
tub,tina,banheira
talented,talentoso,talentoso
struck,golpeado,chocado
smarter,más inteligente,mais esperto
mistaken,equivocado,equivocado
Italy,Italia,Itália
customer,cliente,cliente
bizarre,extraño,bizarro
scaring,amedrentador,assustando
punk,punk,punk
motherfucker,hijo de puta,filho da puta
holds,sostiene,mantém
focused,enfocado,focado
Angeles,Angeles,Angeles
alert,alerta,alerta
activity,actividad,atividade
vecchio,Vecchio,vecchio.
sticks,palo,Gravetos
singer,cantante,cantor
reverend,reverendo,reverendo
highway,autopista,rodovia
Francisco,Francisco,Francisco.
foolish,tonto,Insensato
compliment,cumplido,elogio
blessed,bendito,abençoado
bastards,bastardos,bastardos
attend,atender,comparecer
scheme,esquema,esquema
Joanna,Joanna,Joanna
Marissa,Marissa,Marissa.
Canadian,canadiense,canadense
aid,ayuda,ajuda
worker,obrero,trabalhador
wheelchair,silla de ruedas,cadeira de rodas
protective,protector,protetor
poetry,poesía,poesia
gentle,amable,□ Gentil
script,texto,roteiro
reverse,contrarrestar,marcha ré
picnic,picnic,piquenique
knee,rodilla,joelho
intended,destinado a,destinada
construction,construcción,construção
cage,jaula,cela
wives,esposas,esposas
Wednesday,miércoles,quarta-feira
voices,voces,Vozes.
toes,dedos de los pies,dedos dos pés
stink,hedor,fedor
scares,asustar,assustar
pour,verter,derramar
effects,efectos,Efeitos
cheated,engañado,enganado
tower,torre,torre
time's,veces,vez do tempo
slide,diapositiva,slide
ruining,arruinamiento,arruinando
recent,reciente,recente
jewish,judío,judaico
Jesse,Jesse,Jesse.
filling,relleno,o preenchimento
exit,Salida,saída
cruise,crucero,cruzeiro
cottage,cabaña,cabana
corporate,corporativo,corporativo
cats,gatos,gatos
upside,al revés,parte de cima
supplies,suministros,suprimentos
proves,prueba,prova
parked,estacionado,estacionado
Jo,Joder,Jo.
instance,ejemplo,instância
grounds,jardines,terrenos
German,alemán,alemão
diary,diario,diário
complaining,quejumbroso,reclamando
basis,base,base
wounded,herido,ferido
thing's,cosas,coisas
politics,política,política
Hawaii,Hawai,Havaí
confessed,confesado,confessado
wicked,malvado,malvado
pipe,tubo,tubo
merely,simplemente,apenas
massage,masaje,massagem
data,datos,dados
colors,colores,cores
chop,cortar,Picar
budget,presupuesto,despesas
brief,breve,apresentação
Tina,Tina,Tina.
spill,derramar,derramar
prayer,oración,oração
costs,costos,custos
chicks,pollitos,filhotes
betray,traicionar,trair
begins,comienza,começa
arrangement,disposición,arranjo
waiter,mesero,garçom
sucker,ventosa,otário
scam,estafa,fraude
rats,ratas,ratos
Leslie,Leslie,Leslie.
fraud,fraude,fraude
flu,gripe,gripe
brush,cepillo,escovar
anyone's,cualquiera,ninguem é
adopted,adoptado,adotado
